Category,Project Name,Project Link,Creator
Illustration,Animal crossing washi tape 💕,https://www.kickstarter.com/projects/625053873/animal-crossing-washi-tape-0,Jessica Hall
Sculpture,PRYZM | Ultra rare materials collection,https://www.kickstarter.com/projects/2137186685/pryzm-ultra-rare-materials-collection,Tristan Thompson
Digital Art,Chibi Gems Enamel Pins,https://www.kickstarter.com/projects/pastelgoth/chibi-gems-enamel-pins,Tabi
Art,Artikinesis Art Colouring Book - Berkshire and Hampshire,https://www.kickstarter.com/projects/109479990/artikinesis-art-colouring-book-berkshire-and-hamps,Artikinesis
Art,Korporate Solo Exhibition,https://www.kickstarter.com/projects/korp/korporate-solo-exhibition,Korp
Illustration,Marie Disney Fantasy Pin LE 50 - Scaredy-Cat Series,https://www.kickstarter.com/projects/sherefantasypins/marie-fantasy-pin-le-50-scaredy-cat-series,Chelle
Art,A Line Drawn from the Eye to the Summit,https://www.kickstarter.com/projects/1288961956/a-line-drawn-from-the-eye-to-the-summit,BCU Arts-Based Masters Programme
Sculpture,PUCK - DESIGNER RESIN TOY,https://www.kickstarter.com/projects/889394946/puck,Glenn  Marsh
Illustration,Starlight Sanctuary - A Dragon Field Guide,https://www.kickstarter.com/projects/740464995/starlight-sanctuary-a-dragon-field-guide,Helen Logan
Painting,Help us turn a negative situation into a positive outcome,https://www.kickstarter.com/projects/1470212968/help-us-turn-a-negative-situation-into-a-positive,Julio Cesar Osorio
Installations,Cut Scene: Kirigami Inspired by Scenes from Star Wars,https://www.kickstarter.com/projects/paperdandy/cut-scene-kirigami-inspired-by-scenes-from-star-wa,Marc Hagan-Guirey
Mixed Media,WSA:25 (London Degree Show 2016),https://www.kickstarter.com/projects/917281777/wsa-25-london-degree-show-2016,WSA25
Performance Art,Shoreditch Spring Festival,https://www.kickstarter.com/projects/597924783/shoreditch-spring-festival,Sophia Rose Ghiglieri Warren
Mixed Media,Pursuit of Perfection,https://www.kickstarter.com/projects/1671748042/pursuit-of-perfection,Adpentenda
Mixed Media,WorryBoy,https://www.kickstarter.com/projects/studioelsbeth/worryboy,Studio Elsbeth
Conceptual Art,AUB Fine Art 2015 Graduate Show,https://www.kickstarter.com/projects/725549986/aub-fine-art-2015-graduate-show,AUB BA Fine Art Graduates
Art,"Day o the Deid Ayr 2017, Scotland",https://www.kickstarter.com/projects/1671493999/day-o-the-deid-ayr-2017-scotland,leona stewart
Illustration,The Tuesday Drawing Studio Colouring-in Book!,https://www.kickstarter.com/projects/1981949495/the-tuesday-drawing-studio-colouring-in-book,The Tuesday Drawing Studio
Illustration,I LOVE ROLLER DERBY,https://www.kickstarter.com/projects/1212240800/i-love-roller-derby,Claudia Everest
Art,University of Brighton Fine Art Printmaking Graduate Show,https://www.kickstarter.com/projects/320603766/university-of-brighton-fine-art-printmaking-gradua,Brad Guy
Painting,Trans Vex - A catalogue of paintings by Alexander Small,https://www.kickstarter.com/projects/alexandersmallart/trans-vex-a-catalogue-of-paintings-by-alexander-sm,Alexander Small
Art,Making Ground - A craft collaboration,https://www.kickstarter.com/projects/319036750/making-ground-a-craft-collaboration,Annemarie O'Sullivan / Elaine Bolt
Art,SHIFT: University of Leeds Fine Art Degree Show 2015,https://www.kickstarter.com/projects/1618163600/shift-university-of-leeds-fine-art-degree-show-201,Shift Leeds 2015
Art,"eXXhibition, making the unseen seen through art.",https://www.kickstarter.com/projects/candymedusa/exxhibition-making-the-unseen-seen-through-art,"Candy Medusa, Black Dwarf Designs"
Art,Awareness Book,https://www.kickstarter.com/projects/dagmaracielecka/awareness-book,Dagmara Cielecka
Public Art,The Piano Raft Theatre,https://www.kickstarter.com/projects/197870238/the-piano-raft-theatre,Ben Cummins
Illustration,Beavis & Bonehead,https://www.kickstarter.com/projects/willblood/beavis-and-bonehead,Will Blood
Art,Lacuna Sapling Art Toy,https://www.kickstarter.com/projects/1603380056/lacuna-sapling-art-toy,Monster Ego
Illustration,Original + Affordable Ink Art by my hand to yours!,https://www.kickstarter.com/projects/1102980526/original-affordable-ink-art-by-my-hand-to-yours,Joe Shenton
Illustration,WIZARD OF OZ 'Wish Upon A Star' Personalised Enamel Pin,https://www.kickstarter.com/projects/beepositive/commissions-wish-upon-a-star-personalised-gift-pin,Liz
Illustration,'Four Seasons' An illustration for children,https://www.kickstarter.com/projects/1112299486/four-seasons-a-learning-aid-for-young-children,Kev Payne
Art,Interior & Environmental Design / DJCAD / Dundee / 2017,https://www.kickstarter.com/projects/684659628/interior-and-environmental-design-djcad-dundee-201,IED/DJCAD/17
Art,Inspiration In Envelopes,https://www.kickstarter.com/projects/645476518/inspiration-in-envelopes,Lee
Public Art,Quidditch World Cup 1998 - Dedication Plaque!,https://www.kickstarter.com/projects/1917568038/quidditch-world-cup-1998-dedication-plaque,Cormac Seachoy
Illustration,Camberwell Illustration Show 2015,https://www.kickstarter.com/projects/rockpaperscissors/camberwell-illustration-show-2015,Percie Edgeler
Art,Cool it Art - Free Art Classes for Kids,https://www.kickstarter.com/projects/710976283/cool-it-art-free-art-classes-for-kids,Amanda Callis
Digital Art,"StylishChocobutt's April 2020 3"" Charm Selection",https://www.kickstarter.com/projects/stylishchocobutt/stylishchocobutts-april-2020-3-charm-selection,StylishChocobutt
Illustration,'Positivitea' Enamel Pin Badge,https://www.kickstarter.com/projects/anniebox/positivitea-enamel-pin-badge,Annie
Illustration,Limited Edition Luna Moth Enamel Pin,https://www.kickstarter.com/projects/lunamothpin/limited-edition-luna-moth-enamel-pin,Lucy Robertson
Art,Pretty Little Flicka's ♥ An Enamel Pin Collection,https://www.kickstarter.com/projects/highlandbilby/pretty-little-flickas-an-enamel-pin-collection,Emma Bilby Grey
Art,Howler Keyring,https://www.kickstarter.com/projects/sarahxillustrations/howler-keyring,Sarah Pears
